Time(Years)       TOA(W/M^2) 

    2002.5            0.981  
    2003.0            2.340  
    2003.5            1.252  
    2004.0            0.719  
    2004.5            0.560  
    2005.0            0.276  
    2005.5            0.679  
    2006.0            0.328  
    2006.5           -0.475  
    2007.0            0.470  
    2007.5            0.994  
    2008.0           -0.151  
    2008.5           -0.374  
    2009.0           -0.151  
    2009.5            0.058  
    2010.0            0.425  
    2010.5           -0.169  
    2011.0           -1.040  
    2011.5           -0.091  
    2012.0            1.325  
    2012.5            1.374  
    2013.0            0.834  
    2013.5            0.004  
    2014.0           -0.870  
    2014.5           -0.519  
    2015.0            0.417  
    2015.5            1.150  
    2016.0            2.599  
    2016.5            2.774  
    2017.0            1.050  
    2017.5           -0.334  
    2018.0           -1.242  
    2018.5           -0.366  
    2019.0            1.719  
    2019.5            1.817  
    2020.0            0.954  
    2020.5            0.916  
    2021.0            0.955  
    2021.5            1.577  
