Time(Years)       TOA(W/M^2) 

    2002.5            3.303  
    2003.0            2.181  
    2003.5            1.353  
    2004.0            1.617  
    2004.5            0.662  
    2005.0           -0.137  
    2005.5           -0.094  
    2006.0            0.835  
    2006.5            0.981  
    2007.0           -0.583  
    2007.5           -0.126  
    2008.0            1.770  
    2008.5            1.421  
    2009.0            1.012  
    2009.5            0.715  
    2010.0           -0.207  
    2010.5            0.224  
    2011.0            1.400  
    2011.5            1.360  
    2012.0            0.629  
    2012.5            0.641  
    2013.0            1.120  
    2013.5            1.663  
    2014.0            1.799  
    2014.5            1.174  
    2015.0            1.133  
    2015.5           -0.214  
    2016.0           -2.668  
    2016.5           -0.968  
    2017.0            1.591  
    2017.5            1.721  
    2018.0            2.234  
    2018.5            1.822  
    2019.0            0.555  
    2019.5            0.263  
    2020.0            0.115  
    2020.5           -0.060  
    2021.0            1.066  
    2021.5            1.266  
