Time(Years)       TOA(W/M^2) 

    2002.5            2.142  
    2003.0            2.261  
    2003.5            1.302  
    2004.0            1.168  
    2004.5            0.611  
    2005.0            0.069  
    2005.5            0.293  
    2006.0            0.582  
    2006.5            0.253  
    2007.0           -0.057  
    2007.5            0.434  
    2008.0            0.809  
    2008.5            0.524  
    2009.0            0.431  
    2009.5            0.387  
    2010.0            0.109  
    2010.5            0.028  
    2011.0            0.180  
    2011.5            0.634  
    2012.0            0.977  
    2012.5            1.008  
    2013.0            0.977  
    2013.5            0.834  
    2014.0            0.464  
    2014.5            0.328  
    2015.0            0.775  
    2015.5            0.468  
    2016.0           -0.034  
    2016.5            0.903  
    2017.0            1.321  
    2017.5            0.693  
    2018.0            0.496  
    2018.5            0.728  
    2019.0            1.137  
    2019.5            1.040  
    2020.0            0.534  
    2020.5            0.428  
    2021.0            1.010  
    2021.5            1.422  
